Source,Target,Weight
مکانیک,کیلومتر,1
خارج,توصیه,1
زیاده,تومن,1
اعتماد,اصل,1
کارکرد,هزینه,1
ایران,مکانیک,1
پیشنهاد,10W40,1
پیشنهاد,موتوسل,1
موتوسل,10W40,1
خارجی,توصیه,1
کارکرد,مسافت,1
اصطکاک,سایش,1
گرون,مکانیک,1
نرم,کیلومتر,1
تعمیرگاه,رنگ,1
کاسترول,خارجی,1
کیلومتر,لیکومولی,1
تقلبی,لیکومولی,1
تقلبی,کیلومتر,1
کارکرد,زیاده,1
هزینه,اصل,1
ارزون,اصل,1
گرون,تعمیرگاه,1
استاندارد,خارج,1
رنگ,تعمیرکار,1
صدا,آشنا,1
دوستان,صدا,1
گریس,خارجی,1
هزینه,داخلی,1
تومن,زیاده,1
تخفیف,رنگ,1
رنگ,توصیه,1
مسافت,تومن,1
کیلومتر,مسافت,1
صدا,مکانیک,1
گرون,کیلومتر,1
گریس,رنگ,1
اصل,رنگ,1
توتال,آشنا,1
تعمیرگاه,توتال,1
ثابت,استاندارد,1
اورجینال,ارزون,1
داخلی,اعتماد,1
کارکرد,اعتماد,1
ایران,کارکرد,1
تبخیر,رنگ,1
رنگ,تبخیر,1
گرون,زیاده,1
گرون,ارزون,1
مطمئن,خارج,1
دوستان,گرون,1
تومن,اصل,1
گرون,اصل,1
مکانیک,خارج,1
خارج,هزینه,1
دوستان,گازوییل,1
تعمیرگاه,گریس,1
گرون,گازوییل,1
گرون,دوستان,1
کیلومتر,استاندارد,1
همکار,هزینه,1
همکار,کیلومتر,1
همکار,گرون,1
داخلی,بهران,1
ادینول,تومن,1
ارزون,ایران,1
فیک,هزینه,1
کیلومتر,ارزون,1
کاسترول,اصل,1
استاندارد,توصیه,1
خارجی,گریس,1
دوستان,واردات,1
تعمیرکار,استاندارد,1
زیاده,sl,1
تعمیرکار,ثابت,1
کیلومتر,رنگ,1
استاندارد,رنگ,1
تلویزیون,ارزون,1
تلویزیون,تومن,1
توصیه,تعمیرکار,1
کیلومتر,تعمیرکار,1
تخفیف,گرون,1
هزینه,رنگ,1
توصیه,صدا,1
هزینه,تلویزیون,1
تومن,اقتصادی,1
زیاده,ایران,1
sn,sl,1
ایران,نرم,1
sn,زیاده,1
خارج,داخلی,1
خارج,خارجی,1
تومن,صدا,1
ایران,صدا,1
صدا,گران,1
نرم,توتال,1
تعمیرگاه,معتمد,1
تخفیف,ارزون,1
اسپیدی,هزینه,1
اقتصادی,مکانیک,1
تبلیغات,کاسترول,1
مکانیک,چسب,1
تعمیرکار,مطمئن,1
صدا,ایران,1
واردات,اورجینال,1
یاتاقان,صدا,1
صدا,یاتاقان,1
اصطکاک,پیشنهاد,1
اصطکاک,کاسترول,1
یاتاقان,چسبندگی,1
گریس,ایران,1
ایران,تلویزیون,1
مکانیک,رنگ,1
اسپیدی,مطمئن,1
کاسترول,گرون,1
کاسترول,تومن,1
بهران,کاسترول,1
بهران,فیک,1
ارزان,تقلبی,1
تقلب,خارجی,1
تقلب,زیاده,1
گرون,ارزان,1
تعمیرکار,اعتماد,1
معتمد,هزینه,1
معتمد,تومن,1
تعمیرکار,معتمد,1
تومن,معتمد,1
ایران,تقلب,1
پارس,بهران,1
واردات,زیاده,1
خارجی,واردات,1
صدا,اصطکاک,1
یاتاقان,اصطکاک,1
اصل,اسپیدی,1
لیکومولی,توتال,1
اصل,پارس,1
اصل,بهران,1
اصل,خارجی,1
اصل,آشنا,1
هزینه,اقتصادی,1
مطمئن,گریس,1
گریس,زیاده,1
پیشنهاد,کاسترول,1
دوستان,کاسترول,1
موتوسل,توصیه,1
بهران,توصیه,1
بهران,موتوسل,1
کاسترول,استاندارد,1
گازوییل,sn,1
گران,sn,1
گران,گازوییل,1
پروفیکار,مکانیک,1
اسپیدی,مکانیک,1
اسپیدی,پروفیکار,1
رنگ,گرون,1
پارس,ایران,1
خارجی,اورجینال,1
توتال,اورجینال,1
لیکومولی,اورجینال,1
لیکومولی,خارجی,1
تعمیرگاه,تقلبی,1
استاندارد,ارزان,1
تیره,تومن,1
تیره,تقلبی,1
کارکرد,مطمئن,1
کارکرد,توصیه,1
اعتماد,مطمئن,1
اعتماد,توصیه,1
اعتماد,کارکرد,1
کیلومتر,مطمئن,1
کیلومتر,اعتماد,1
تومن,اعتماد,1
هزینه,اعتماد,1
پیشنهاد,ثابت,1
ثابت,یاتاقان,1
بهران,داخلی,1
ایران,سپاهان,1
ایران,بهران,1
آشنا,تقلبی,1
همیشگی,تقلبی,1
همیشگی,آشنا,1
خارجی,آشنا,1
خارجی,همیشگی,1
یاتاقان,تقلبی,1
یاتاقان,آشنا,1
یاتاقان,همیشگی,1
یاتاقان,خارجی,1
خارجی,اعتماد,1
بهران,اعتماد,1
توصیه,مطمئن,1
یاتاقان,توصیه,1
تومن,توصیه,1
دوستان,داخلی,1
ایران,تیره,1
تومن,گازوییل,1
گازوییل,تومن,1
توصیه,کیلومتر,1
تعمیرکار,یاتاقان,1
کیلومتر,گریس,1
ایران,گریس,1
توتال,هزینه,1
ارزان,واردات,1
گازوییل,واردات,1
گازوییل,ارزان,1
رنگ,تلویزیون,1
هزینه,توصیه,1
یاتاقان,اعتمادی,1
پیشنهاد,تعمیرکار,1
تعمیرکار,پیشنهاد,1
گرون,کارکرد,1
لیکومولی,ارزون,1
توتال,ارزون,1
توتال,لیکومولی,1
مکانیک,توصیه,1
پارس,صدا,1
هزینه,کارکرد,1
توصیه,ایران,1
اصل,سپاهان,1
آشنا,خارجی,1
کارکرد,یاتاقان,1
گازوییل,ایران,1
پارس,تلویزیون,1
ثابت,گرون,1
پارس,تومن,1
تقلبی,زیاده,1
کیلومتر,زیاده,1
مسافت,زیاده,1
مسافت,تقلبی,1
مسافت,کیلومتر,1
صدا,کیلومتر,1
ایران,دوستان,1
داخلی,صدا,1
گازوییل,صدا,1
بهران,چسبندگی,1
مطمئن,کارکرد,1
مطمئن,رنگ,1
استاندارد,خارجی,1
رنگ,استاندارد,1
صدا,بهران,1
چسبندگی,ایران,1
پیشنهاد,5W20,1
یاتاقان,5W20,1
یاتاقان,پیشنهاد,1
ایران,5W20,1
آشنا,مکانیک,1
صدا,کارکرد,1
تلویزیون,پارس,1
استاندارد,کارکرد,1
آشنا,بهران,1
دوستان,تقلبی,1
تقلبی,کارکرد,1
خارجی,یاتاقان,1
آشنا,تخفیف,1
ایران,تخفیف,1
اقتصادی,تخفیف,1
آشنا,تومن,1
ایران,گران,1
رنگ,ايران,1
مکانیک,نرم,1
توتال,چسب,1
تقلبی,چسب,1
تقلبی,توتال,1
ایران,تبلیغات,1
سپاهان,بهران,1
رنگ,واردات,1
رنگ,هزینه,1
ایران,کاسترول,1
اقتصادی,واردات,1
یاتاقان,تعمیرگاه,1
داخلی,تقلبی,1
داخلی,استاندارد,1
کارکرد,استاندارد,1
خارجی,استاندارد,1
سپاهان,توتال,1
پارس,توتال,1
تقلب,معتمد,1
آشنا,تقلب,1
تقلبی,معتمد,1
تقلبی,آشنا,1
گرون,گران,1
دوستان,تعمیرگاه,1
دوستان,کیلومتر,1
هزینه,گریس,1
زیاده,بهران,1
گازوییل,اصل,1
کیلومتر,واردات,1
شناخت,کارکرد,1
اصل,اعتماد,1
توصیه,یاتاقان,1
تقلب,استاندارد,1
پارس,فیک,1
سایش,اصطکاک,1
کاسترول,تقلبی,1
دوستان,بهران,1
خارج,رنگ,1
کاسترول,لیکومولی,1
پارس,اسپیدی,1
خارجی,اسپیدی,1
خارجی,سپاهان,1
خارجی,پارس,1
خارجی,بهران,1
آشنا,اسپیدی,1
آشنا,سپاهان,1
آشنا,پارس,1
توصیه,گرون,1
مطمئن,اقتصادی,1
گریس,یاتاقان,1
پیشنهاد,نرم,1
خارج,یاتاقان,1
تعمیرگاه,یاتاقان,1
تعمیرگاه,خارج,1
فیک,یاتاقان,1
ایران,ثابت,1
استاندارد,مکانیک,1
دوستان,مکانیک,1
تومن,تخفیف,1
نرم,تومن,1
کیلومتر,نرم,1
گران,ارزان,1
تعمیرکار,صدا,1
یاتاقان,گریس,1
آشنا,چسب,1
نرم,پولدار,1
واردات,هزینه,1
فیک,استاندارد,1
دوستان,فیک,1
چسبندگی,چسب,1
صدا,چسب,1
صدا,چسبندگی,1
تعمیرگاه,تبلیغات,1
سپاهان,تومن,1
چسب,رنگ,1
رنگ,چسب,1
